cap-shape,cap-surface,cap-color,bruises%3F,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-type,spore-print-color,population,habitat,class
flat,fibrous,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,solitary,woods,edible
flat,scaly,red,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,pink,partial,white,pendant,black,several,woods,edible
flat,smooth,gray,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,fibrous,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,pink,pink,partial,white,pendant,brown,solitary,woods,edible
convex,scaly,gray,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,gray,pink,partial,white,pendant,black,solitary,woods,edible
convex,fibrous,gray,FALSE,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,smooth,brown,TRUE,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,grasses,poisonous
flat,fibrous,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,gray,white,partial,white,pendant,black,several,woods,edible
convex,smooth,brown,TRUE,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,black,several,grasses,poisonous
convex,smooth,white,TRUE,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,grasses,edible
convex,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,scaly,yellow,TRUE,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,grasses,edible
convex,fibrous,gray,FALSE,foul,free,close,broad,chocolate,enlarging,silky,silky,brown,buff,partial,white,large,chocolate,solitary,grasses,poisonous
flat,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
flat,smooth,white,FALSE,none,free,crowded,broad,pink,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,fibrous,brown,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,gray,gray,partial,white,pendant,black,several,woods,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,smooth,white,TRUE,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,partial,white,pendant,black,several,urban,poisonous
flat,fibrous,brown,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,solitary,woods,edible
convex,scaly,white,TRUE,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,numerous,grasses,edible
flat,fibrous,gray,FALSE,none,free,crowded,broad,brown,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,scaly,red,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,white,gray,partial,white,pendant,brown,several,woods,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,smooth,gray,FALSE,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,scaly,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,white,pink,partial,white,pendant,black,several,woods,edible
convex,scaly,gray,TRUE,none,free,close,broad,white,tapering,smooth,smooth,white,gray,partial,white,pendant,brown,solitary,woods,edible
convex,fibrous,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,white,partial,white,pendant,black,several,woods,edible
flat,smooth,white,FALSE,none,free,crowded,broad,brown,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,pink,white,partial,white,pendant,black,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,several,woods,edible
convex,fibrous,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,white,partial,white,pendant,brown,several,woods,edible
convex,scaly,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,solitary,woods,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,scaly,brown,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,white,partial,white,pendant,black,solitary,woods,edible
convex,smooth,gray,FALSE,none,free,crowded,broad,brown,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,gray,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,abundant,grasses,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,pink,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,scaly,gray,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,white,pink,partial,white,pendant,black,several,woods,edible
flat,scaly,brown,TRUE,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,urban,poisonous
convex,scaly,red,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,gray,partial,white,pendant,black,several,woods,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,pink,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,smooth,gray,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,scaly,gray,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,pink,partial,white,pendant,brown,several,woods,edible
flat,fibrous,gray,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,white,partial,white,pendant,black,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,white,partial,white,pendant,black,several,woods,edible
flat,fibrous,red,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,white,pink,partial,white,pendant,black,several,woods,edible
convex,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,white,gray,partial,white,pendant,brown,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,white,pink,partial,white,pendant,black,several,woods,edible
convex,fibrous,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,white,white,partial,white,pendant,black,solitary,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,pink,white,partial,white,pendant,brown,solitary,woods,edible
convex,fibrous,yellow,TRUE,almond,free,crowded,narrow,white,tapering,smooth,smooth,white,white,partial,white,pendant,brown,several,woods,edible
convex,fibrous,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,several,woods,edible
flat,smooth,white,TRUE,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,several,grasses,poisonous
convex,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,red,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,solitary,woods,edible
convex,scaly,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,pink,pink,partial,white,pendant,black,several,woods,edible
convex,fibrous,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,fibrous,gray,TRUE,none,free,close,broad,white,tapering,smooth,smooth,pink,white,partial,white,pendant,brown,solitary,woods,edible
convex,smooth,gray,FALSE,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,scaly,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,solitary,woods,edible
convex,scaly,brown,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,pink,white,partial,white,pendant,brown,several,woods,edible
convex,smooth,white,FALSE,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,smooth,brown,FALSE,none,free,crowded,broad,brown,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,smooth,white,FALSE,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,smooth,brown,FALSE,none,free,crowded,broad,brown,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,fibrous,red,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,solitary,woods,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,brown,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
flat,fibrous,gray,FALSE,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,scaly,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,several,woods,edible
convex,fibrous,red,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,white,partial,white,pendant,brown,solitary,woods,edible
convex,scaly,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,white,white,partial,white,pendant,brown,several,woods,edible
convex,fibrous,red,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,white,gray,partial,white,pendant,black,solitary,woods,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,smooth,white,FALSE,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,fibrous,white,FALSE,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,red,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,pink,partial,white,pendant,brown,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,solitary,woods,edible
flat,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,pink,partial,white,pendant,black,several,woods,edible
flat,fibrous,white,TRUE,anise,free,crowded,narrow,pink,tapering,smooth,smooth,white,white,partial,white,pendant,brown,several,woods,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
flat,scaly,white,TRUE,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,grasses,poisonous
flat,fibrous,gray,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,gray,gray,partial,white,pendant,black,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,white,gray,partial,white,pendant,brown,several,woods,edible
convex,smooth,white,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,smooth,brown,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,smooth,gray,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,scaly,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,pink,pink,partial,white,pendant,brown,solitary,woods,edible
flat,smooth,gray,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,brown,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,smooth,gray,FALSE,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,fibrous,gray,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,pink,white,partial,white,pendant,black,solitary,woods,edible
convex,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,abundant,grasses,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,black,tapering,smooth,fibrous,white,white,partial,white,evanescent,brown,abundant,grasses,edible
flat,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,gray,FALSE,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,pink,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,white,pink,partial,white,pendant,brown,several,woods,edible
flat,smooth,gray,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
flat,smooth,white,FALSE,none,free,crowded,broad,brown,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,scaly,red,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,gray,white,partial,white,pendant,black,several,woods,edible
convex,scaly,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,gray,partial,white,pendant,black,several,woods,edible
convex,scaly,red,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,gray,pink,partial,white,pendant,black,several,woods,edible
convex,fibrous,gray,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,fibrous,gray,FALSE,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
flat,scaly,yellow,TRUE,anise,free,close,broad,pink,enlarging,smooth,scaly,white,white,partial,white,pendant,brown,solitary,grasses,edible
flat,scaly,white,TRUE,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,partial,white,pendant,black,several,urban,poisonous
flat,smooth,brown,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,black,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,fibrous,brown,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,gray,white,partial,white,pendant,black,several,woods,edible
convex,fibrous,red,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,white,partial,white,pendant,black,solitary,woods,edible
flat,fibrous,gray,FALSE,none,free,crowded,broad,pink,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,brown,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,gray,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,scaly,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,white,partial,white,pendant,brown,several,woods,edible
flat,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,white,partial,white,pendant,black,several,woods,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,pink,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,pink,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
flat,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,smooth,gray,FALSE,none,free,crowded,broad,pink,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,scaly,white,TRUE,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,urban,poisonous
bell,smooth,white,TRUE,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,grasses,edible
convex,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,white,partial,white,pendant,brown,several,woods,edible
flat,fibrous,gray,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,smooth,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,smooth,white,TRUE,anise,free,crowded,narrow,brown,tapering,smooth,smooth,white,white,partial,white,pendant,purple,several,woods,edible
convex,fibrous,white,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,smooth,gray,FALSE,none,free,crowded,broad,black,tapering,fibrous,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,scaly,red,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,white,pink,partial,white,pendant,black,several,woods,edible
flat,fibrous,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,gray,pink,partial,white,pendant,black,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,white,white,partial,white,pendant,black,several,woods,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,brown,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,smooth,white,TRUE,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,several,urban,poisonous
flat,fibrous,brown,FALSE,none,free,crowded,broad,pink,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,scaly,gray,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,solitary,woods,edible
convex,scaly,gray,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,several,woods,edible
convex,fibrous,gray,FALSE,none,free,crowded,broad,pink,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,gray,TRUE,none,free,close,broad,white,tapering,smooth,smooth,pink,pink,partial,white,pendant,brown,several,woods,edible
convex,scaly,red,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,pink,pink,partial,white,pendant,brown,several,woods,edible
convex,fibrous,gray,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,gray,pink,partial,white,pendant,black,solitary,woods,edible
convex,fibrous,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,pink,white,partial,white,pendant,brown,several,woods,edible
convex,fibrous,brown,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,gray,partial,white,pendant,black,several,woods,edible
convex,smooth,white,TRUE,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,partial,white,pendant,black,several,grasses,poisonous
convex,fibrous,brown,FALSE,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,scaly,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,pink,pink,partial,white,pendant,brown,several,woods,edible
convex,fibrous,gray,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,white,gray,partial,white,pendant,brown,solitary,woods,edible
flat,scaly,brown,TRUE,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,grasses,poisonous
convex,fibrous,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,white,gray,partial,white,pendant,black,solitary,woods,edible
convex,fibrous,gray,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,red,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,gray,partial,white,pendant,black,several,woods,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,abundant,grasses,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,pink,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,scaly,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,white,gray,partial,white,pendant,brown,several,woods,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
flat,fibrous,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,pink,pink,partial,white,pendant,brown,several,woods,edible
flat,smooth,white,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,smooth,brown,TRUE,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,partial,white,pendant,black,several,urban,poisonous
convex,fibrous,brown,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,white,white,partial,white,pendant,black,solitary,woods,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,scaly,white,TRUE,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,grasses,poisonous
convex,fibrous,brown,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,several,woods,edible
convex,fibrous,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,white,pink,partial,white,pendant,brown,solitary,woods,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,pink,tapering,fibrous,fibrous,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,red,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,gray,gray,partial,white,pendant,black,several,woods,edible
flat,fibrous,white,FALSE,none,free,crowded,broad,pink,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,fibrous,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,scaly,white,TRUE,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,partial,white,pendant,black,numerous,meadows,edible
convex,smooth,white,FALSE,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
convex,scaly,gray,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,several,woods,edible
convex,fibrous,gray,TRUE,none,free,close,broad,brown,tapering,smooth,smooth,gray,white,partial,white,pendant,black,solitary,woods,edible
convex,smooth,gray,FALSE,none,free,crowded,broad,brown,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
flat,scaly,white,TRUE,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,urban,poisonous
convex,fibrous,red,TRUE,none,free,close,broad,white,tapering,smooth,smooth,white,pink,partial,white,pendant,brown,several,woods,edible
flat,smooth,brown,TRUE,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,urban,poisonous
flat,scaly,brown,TRUE,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,several,grasses,poisonous
convex,fibrous,gray,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,pink,pink,partial,white,pendant,brown,several,woods,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,fibrous,gray,TRUE,none,free,close,broad,pink,tapering,smooth,smooth,gray,white,partial,white,pendant,brown,solitary,woods,edible
convex,fibrous,brown,FALSE,none,free,crowded,broad,chocolate,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,pink,gray,partial,white,pendant,brown,solitary,woods,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
flat,fibrous,brown,FALSE,none,free,crowded,broad,pink,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,smooth,fibrous,white,white,partial,white,evanescent,black,scattered,grasses,edible
convex,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,gray,partial,white,pendant,brown,several,woods,edible
convex,scaly,red,TRUE,none,free,close,broad,purple,tapering,smooth,smooth,gray,white,partial,white,pendant,brown,several,woods,edible
flat,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,partial,white,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,TRUE,none,free,close,broad,white,tapering,smooth,smooth,gray,gray,partial,white,pendant,black,solitary,woods,edible
flat,scaly,white,TRUE,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,several,urban,poisonous
convex,scaly,yellow,TRUE,anise,free,close,broad,brown,enlarging,smooth,scaly,white,white,partial,white,pendant,brown,scattered,grasses,edible
flat,smooth,brown,TRUE,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,grasses,poisonous
flat,fibrous,white,FALSE,none,free,crowded,broad,chocolate,tapering,fibrous,smooth,white,white,partial,white,evanescent,brown,scattered,grasses,edible
